Entity,Code,Year,Excess skin cancer cases per million (Copenhagen Amendments),Excess skin cancer cases per million (Montreal Protocol),Excess skin cancer cases per million (no restrictions)
Northwest Europe,,2000,14,17,17
Northwest Europe,,2030,58,103,121
Northwest Europe,,2050,89,231,348
Northwest Europe,,2070,77,414,1017
Northwest Europe,,2100,23,1051,3468
United States,USA,2000,31,36,36
United States,USA,2030,102,192,233
United States,USA,2050,148,420,705
United States,USA,2070,122,758,1980
United States,USA,2100,35,1958,6530
